row_id,county_code,year,state,population,renter_occupied_households,pct_renter_occupied,median_gross_rent,median_household_income,median_property_value,rent_burden,pct_white,pct_af_am,pct_hispanic,pct_am_ind,pct_asian,pct_nh_pi,pct_multiple,pct_other,poverty_rate,rucc,urban_influence,economic_typology,pct_civilian_labor,pct_unemployment,pct_uninsured_adults,pct_uninsured_children,pct_adult_obesity,pct_adult_smoking,pct_diabetes,pct_low_birthweight,pct_excessive_drinking,pct_physical_inactivity,air_pollution_particulate_matter_value,homicides_per_100k,motor_vehicle_crash_deaths_per_100k,heart_disease_mortality_per_100k,pop_per_dentist,pop_per_primary_care_physician,pct_female,pct_below_18_years_of_age,pct_aged_65_years_and_older,pct_adults_less_than_a_high_school_diploma,pct_adults_with_high_school_diploma,pct_adults_with_some_college,pct_adults_bachelors_or_higher,birth_rate_per_1k,death_rate_per_1k,evictions
0,a4e2211,b,d725a95,45009,6944,37.218,643,33315,98494,33.389,0.412070384,0.4934592,0.070193214,0.002588231,0.004574547,0.000200638,0.015920628,0.000993158,18.451,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a large metro area,Nonspecialized,0.407,0.093,0.239,0.068,0.332,0.277,0.145,0.12,0.077,0.313,12.16528737,14.01,18.21,318,2420,1960,0.532,0.252,0.153,0.233,0.375,0.278,0.114,12.91512915,11.20511205,681
1,583e0c7,a,533155c,9872,1224,31.773,517,43724,85444,26.477,0.838681508,0.015587831,0.037418824,0.073492658,0.005771412,0.000802979,0.028244788,0,11.922,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Nonspecialized,0.547,0.04,0.204,0.092,0.315,0.208,0.129,0.06,0.094,0.31,8.29255435,,28.58,306,3330,890,0.509,0.252,0.188,0.073293173,0.397590361,0.331325301,0.197791165,11.04915853,12.27684281,0
2,4776bfd,b,d725a95,17625,1725,21.973,671,37777,136162,32.5,0.873733087,0.041040491,0.046921963,0.00450347,0.004872934,0,0.028728344,0.00019971,11.883,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Recreation,0.43,0.065,0.3,0.108,0.291,0.245,0.106,0.08,,0.244,13.12941242,,11.14,266,6699,3509,0.451,0.166,0.189,0.206586826,0.303393214,0.301397206,0.188622754,7.903576368,10.16174105,29
3,97fb48d,a,d725a95,134136,18180,36.809,603,30607,70062,31.959,0.264083172,0.240835711,0.081066789,0.377985752,0.007243629,0.000399098,0.025582184,0.002803664,26.025,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Nonspecialized,0.379,0.084,0.335,0.101,0.398,0.254,0.157,0.11,0.084,0.349,12.22619426,22.7,34.73,325,4810,2219,0.519,0.263,0.125,0.248255234,0.334995015,0.290129611,0.12662014,13.13711868,10.20207237,841
4,47a9ba3,a,be99678,6936,551,17.627,668,44237,187066,29.339,0.924501822,0.00514602,0.035753389,0.014044552,0.000706707,0.003175204,0.016672307,0,10.674,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Federal/State government-dependent,0.433,0.064,0.23,0.119,0.242,0.204,0.099,0.079,0.193,0.215,8.906229395,,23.26,187,,3410,0.487,0.196,0.203,0.058648111,0.276341948,0.413518887,0.251491054,6.084751902,5.939876856,2
5,2f5d62b,b,dc52510,985597,195220,48.578,1001,57207,240149,29.99,0.403816125,0.435499632,0.076131086,0.001904033,0.063034565,0.000302227,0.016985181,0.002327151,12.948,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.514,0.071,0.273,0.096,0.231,0.132,0.079,0.11,0.18,0.196,13.20920725,12.8,10.52,256,1609,1030,0.513,0.233,0.097,0.090547264,0.179104478,0.235820896,0.494527363,12.63221777,6.101172038,4191
6,2406c8b,a,f93b51e,18330,2256,30.415,522,29778,88617,26.88,0.954061833,0.007811795,0.017288234,0.001604476,0.005104241,0,0.013728302,0.000401119,21.1,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Farm-dependent,0.419,0.062,0.26,0.094,0.356,0.238,0.132,0.079,,0.31,9.90662425,8.5,24.43,370,2630,3100,0.511,0.251,0.188,0.22255489,0.410179641,0.244510978,0.122754491,13.56859527,11.59896047,24
7,801bf91,a,56f170e,185248,13778,18.446,953,91954,255951,26.738,0.87010512,0.036079682,0.023531536,0.000912775,0.048166426,0.000300915,0.019077997,0.00182555,3.074,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.534,0.035,0.087,0.035,0.264,0.122,0.087,0.07,0.2,0.217,13.75930752,1.2,6.32,192,2010,820,0.501,0.279,0.111,0.033932136,0.204590818,0.243512974,0.517964072,11.18885511,5.840393965,225
8,82dbbf7,b,a972798,46558,4382,23.017,674,48484,124230,27.064,0.88496151,0.005765939,0.092044806,0.001211248,0.006166351,0.000600619,0.009249527,0,8.954,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,Manufacturing-dependent,0.503,0.056,0.229,0.104,0.314,0.21,0.102,0.07,0.112,0.293,13.17988793,,21.05,260,2639,1559,0.506,0.259,0.155,0.154154154,0.405405405,0.256256256,0.184184184,11.58889256,10.03376543,93
9,23c3967,b,a8981de,27319,2543,21.691,617,35375,78601,30.516,0.618519476,0.354543827,0.017675964,0,0.000198942,0,0.008464966,0.000596825,18.175,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.392,0.065,0.266,0.09,0.358,0.233,0.136,0.129,0.078,0.348,11.65810826,7.78,39.92,401,3499,1950,0.516,0.259,0.148,0.204795205,0.391608392,0.276723277,0.126873127,12.47771836,10.47691804,6
10,70db609,b,9759812,22727,2385,22.169,502,37240,91317,32.717,0.970206957,0.007602706,0.011807611,0.000787174,0.002670413,0,0.006925139,0,16.422,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Farm-dependent,0.434,0.059,0.194,0.065,0.297,0.279,0.106,0.089,,0.328,13.19803212,,26.5,314,5869,3300,0.503,0.188,0.203,0.235059761,0.363545817,0.283864542,0.11752988,8.133514078,13.64474766,19
11,cb825af,b,930f257,1685,163,25.833,617,38603,59602,25.03,0.602115704,0.03735477,0.3278541,0.000599916,0,0.002989581,0.029085928,0,13.358,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.412,0.042,0.4,0.269,0.288,,0.116,,,0.279,9.716762681,,,249,,1650,0.503,0.232,0.235,0.243243243,0.254254254,0.282282282,0.22022022,7.133592737,15.56420234,0
12,6ba10cb,b,930f257,1337,108,24.522,820,53455,85864,29.726,0.52460821,0.002201629,0.457698697,0,0,0,0.015491464,0,12.003,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Mining-dependent,0.6,0.03,0.276,0.202,0.293,,0.106,,,0.288,10.08501845,,,262,,,0.488,0.247,0.159,0.214356929,0.321036889,0.243270189,0.221335992,14.64354528,10.01926782,0
13,31e4dcb,a,a8981de,26179,2350,23.717,611,30667,78537,38.968,0.65130467,0.320721694,0.01400182,0.002100273,0.000100013,0,0.011371478,0.000400052,21.783,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Nonspecialized,0.392,0.074,0.265,0.082,0.377,0.261,0.133,0.119,0.124,0.318,11.6557153,18.8,42.24,373,4359,2399,0.52,0.247,0.159,0.233466934,0.362725451,0.273547094,0.130260521,11.69339908,12.90171698,90
14,6d9ef77,a,930f257,158537,14954,28.111,906,62464,146551,30.126,0.63867659,0.088878427,0.246441557,0.002614366,0.00600002,0.000200335,0.016587701,0.000601004,9.293,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Manufacturing-dependent,0.498,0.039,0.275,0.125,0.283,0.134,0.103,0.07,0.199,0.225,9.530754427,4.6,12.97,271,3709,2359,0.501,0.275,0.116,0.151696607,0.29740519,0.338323353,0.21257485,13.39520821,7.372940688,311
15,2b7fc8b,a,dc52510,6454,767,34.343,500,25512,56231,28.082,0.330684725,0.60785553,0.046139955,0.002217206,0.00592927,0,0.007173313,0,31.836,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Farm-dependent,0.329,0.063,0.292,0.108,0.329,,0.123,0.13,,0.283,12.2849786,,,379,3259,3249,0.405,0.193,0.121,0.274,0.384,0.243,0.099,8.069522036,6.517690875,0
16,c43e2ff,b,ea48b30,77345,10621,37.475,675,48101,144267,25.019,0.678229436,0.006967869,0.252122079,0.020480702,0.007924441,0.001419754,0.032040116,0.000815603,13.985,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Nonspecialized,0.457,0.078,0.272,0.094,0.341,0.217,0.103,0.06,0.146,0.243,9.785384439,2.65,14.97,238,1970,1869,0.479,0.26,0.132,0.167502508,0.291875627,0.377131394,0.163490471,14.14488064,8.285977125,128
17,6a6e7a1,a,8af7339,9292,1537,36.205,595,41512,170226,31.808,0.917791827,0.001286372,0.037244969,0.011298139,0.003679623,0.00079775,0.027901318,0,8.788,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Federal/State government-dependent,0.542,0.034,0.282,0.156,0.247,0.11,0.082,0.07,0.113,0.224,10.53234963,,18.69,193,2330,770,0.491,0.185,0.193,0.065802592,0.299102692,0.332003988,0.303090728,8.730800323,8.838587982,1
18,1aba005,b,6f7cad6,139993,19060,39.946,1405,71378,462991,32.14,0.544440898,0.020215822,0.330713687,0.001894922,0.075148602,0.001894922,0.022370048,0.003321099,6.985,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Recreation,0.517,0.057,0.22,0.093,0.236,0.085,0.072,0.06,0.237,0.142,7.54254158,1.93,11.82,226,1349,1160,0.5,0.226,0.159,0.169508526,0.191574724,0.314944835,0.323971916,10.55480283,8.300171765,97
19,85b8621,b,9759812,94489,9180,25.325,871,60519,190145,25.225,0.869285764,0.055480352,0.026551956,0.000701902,0.028176358,0,0.019402581,0.000401087,6.042,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.529,0.046,0.137,0.056,0.267,0.176,0.105,0.08,0.116,0.258,12.96309719,1.52,9.86,238,1280,859,0.523,0.211,0.184,0.079840319,0.264471058,0.313373253,0.342315369,9.384208054,10.04612034,504
20,4dac46d,b,d725a95,44519,5138,29.735,582,35965,98715,24.877,0.879755246,0.038359316,0.05588282,0.00457178,0.007784918,0.000694197,0.008667539,0.004284184,15.707,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,Manufacturing-dependent,0.458,0.065,0.208,0.067,0.338,0.23,0.133,0.09,0.071,0.317,13.15534002,5.81,12.87,261,3889,2649,0.5,0.214,0.174,0.181909548,0.367839196,0.314572864,0.135678392,10.61998023,11.5086815,171
21,62eef39,b,dc52510,23435,2297,28.3,774,41667,112804,36.681,0.67072437,0.280031686,0.029941441,0.000501364,0.005184101,0,0.008523183,0.005093855,18.82,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.428,0.075,0.263,0.092,0.334,,0.128,0.1,,0.267,13.27531766,7.09,26.37,318,8700,3349,0.468,0.223,0.138,0.239,0.435,0.224,0.102,12.05956826,11.24415261,43
22,3763c2b,a,a972798,28867,2791,22.839,677,51169,129748,25.08,0.960488745,0.004883414,0.017213024,0.002421527,0.01098768,0,0.003904713,0.000100897,5.805,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Noncore adjacent to a large metro area,Nonspecialized,0.472,0.053,0.173,0.08,0.311,0.264,0.1,0.07,0.245,0.262,13.37303227,,12.49,281,9470,1579,0.502,0.248,0.166,0.128128128,0.449449449,0.259259259,0.163163163,11.24930129,10.34097261,16
23,46eba8f,a,dc52510,30096,3537,31.895,624,38955,92027,29.559,0.710747426,0.204732336,0.060758888,0.002282445,0.000996701,0,0.016515334,0.00396687,16.768,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,Federal/State government-dependent,0.389,0.072,0.275,0.088,0.324,0.243,0.124,0.09,,0.295,12.75871386,9.5,23.86,340,4289,2749,0.476,0.247,0.141,0.179640719,0.423153693,0.265469062,0.131736527,14.01421586,11.05677942,46
24,9be4ca1,a,f1f4f42,34112,2775,20.175,583,45064,106573,26.859,0.929513598,0.039480446,0.016545914,0.001995183,0.001602193,0.000403067,0.00975423,0.000705368,11.227,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Federal/State government-dependent,0.433,0.063,0.238,0.055,0.359,0.27,0.102,0.09,0.089,0.347,13.44581615,6.6,19.36,308,4229,4830,0.49,0.198,0.169,0.178178178,0.461461461,0.214214214,0.146146146,10.91457643,9.968054898,53
25,23900d9,b,3c7c507,41161,4246,23.959,615,47860,132520,24.092,0.874559345,0.002866131,0.025435662,0.073930194,0.004593798,0.00019973,0.018215409,0.00019973,7.757,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,Nonspecialized,0.515,0.059,0.146,0.063,0.316,0.207,0.099,0.069,0.272,0.276,11.1516823,,19.87,241,2110,1539,0.502,0.222,0.194,0.097097097,0.451451451,0.296296296,0.155155155,10.18749323,10.47650013,56
26,60a86e1,a,930f257,13501,1347,28.191,582,41095,62396,21.803,0.377766595,0.056796336,0.546504957,0.0024961,0.00804187,0.000301948,0.008092195,0,13.893,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Nonspecialized,0.367,0.045,0.331,0.143,0.307,,0.101,0.1,,0.266,9.406408541,,14.52,256,4599,2270,0.432,0.241,0.143,0.276723277,0.371628372,0.242757243,0.108891109,14.22389464,9.106302916,0
27,e7fac19,b,dc52510,6822,802,30.413,461,38596,71701,23.066,0.692349208,0.291689571,0.011693569,0,0,0,0.004267653,0,15.3,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Nonspecialized,0.414,0.105,0.27,0.087,0.346,0.224,0.123,0.109,,0.313,12.68764658,,47.11,310,7239,,0.502,0.24,0.145,0.228771229,0.416583417,0.206793207,0.147852148,11.48396719,9.395973154,0
